evidence_tier,field,method_id,method,method_group,status,protocol,source,test_references,recovery_metric,recovery_percent,high_density_v20_recall_percent,high_density_v20_n,astrometric_rms_mas,photometric_rms_mag,runtime_s,runtime_s_per_mpix,note
HST/ACS single-F606W controlled,ngc0104,sep,SEP/SExtractor-style,single-image baseline,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,5389,held_out_catalogue_recovery,51.160,53.372,3307,6.3103,0.26525,13.731,9.536,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc0104,photutils_psf,Photutils PSFPhotometry,single-image baseline,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,5389,held_out_catalogue_recovery,22.175,18.809,3307,4.3174,0.12147,11.197,7.776,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc0104,astrocfr_epsf_deblend,AstroCFR ePSF + residual deblend,v45 branch,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,5389,held_out_catalogue_recovery,35.684,34.170,3307,3.1265,0.07245,32.496,22.567,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc0104,astrocfr_spatial_epsf_joint,AstroCFR spatial-ePSF joint,v45 branch,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,5389,held_out_catalogue_recovery,63.667,67.130,3307,2.1126,0.08011,97.372,67.619,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc0362,dao,DAOStarFinder,single-image baseline,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,5103,held_out_catalogue_recovery,20.341,25.199,2008,1.7581,0.25680,0.209,0.145,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc0362,sep,SEP/SExtractor-style,single-image baseline,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,5103,held_out_catalogue_recovery,42.152,42.380,2008,5.7551,0.29262,10.442,7.251,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc0362,photutils_psf,Photutils PSFPhotometry,single-image baseline,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,5103,held_out_catalogue_recovery,19.929,24.950,2008,3.8964,0.25706,10.130,7.035,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc0362,astrocfr_epsf_deblend,AstroCFR ePSF + residual deblend,v45 branch,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,5103,held_out_catalogue_recovery,34.568,51.942,2008,4.5449,0.08931,27.226,18.907,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc0362,astrocfr_spatial_epsf_joint,AstroCFR spatial-ePSF joint,v45 branch,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,5103,held_out_catalogue_recovery,46.189,75.149,2008,2.4616,0.09589,59.325,41.198,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc6093,dao,DAOStarFinder,single-image baseline,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,5722,held_out_catalogue_recovery,25.655,56.672,1334,2.7154,0.35170,0.150,0.104,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc6093,sep,SEP/SExtractor-style,single-image baseline,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,5722,held_out_catalogue_recovery,44.355,47.751,1334,6.4010,0.29545,10.318,7.165,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc6093,photutils_psf,Photutils PSFPhotometry,single-image baseline,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,5722,held_out_catalogue_recovery,25.376,56.597,1334,3.0648,0.20983,13.259,9.208,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc6093,astrocfr_epsf_deblend,AstroCFR ePSF + residual deblend,v45 branch,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,5722,held_out_catalogue_recovery,35.879,81.109,1334,2.7272,0.08328,37.559,26.083,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc6093,astrocfr_spatial_epsf_joint,AstroCFR spatial-ePSF joint,v45 branch,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,5722,held_out_catalogue_recovery,41.664,91.679,1334,2.4417,0.08747,65.736,45.650,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc6624,dao,DAOStarFinder,single-image baseline,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,3447,held_out_catalogue_recovery,45.982,68.056,648,2.4337,0.20003,0.154,0.107,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc6624,sep,SEP/SExtractor-style,single-image baseline,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,3447,held_out_catalogue_recovery,48.622,26.080,648,3.0895,0.14402,9.177,6.373,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc6624,photutils_psf,Photutils PSFPhotometry,single-image baseline,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,3447,held_out_catalogue_recovery,45.982,68.056,648,1.3489,0.10605,13.386,9.296,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc6624,astrocfr_epsf_deblend,AstroCFR ePSF + residual deblend,v45 branch,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,3447,held_out_catalogue_recovery,58.370,91.204,648,1.5567,0.05918,37.586,26.101,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc6624,astrocfr_spatial_epsf_joint,AstroCFR spatial-ePSF joint,v45 branch,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,3447,held_out_catalogue_recovery,58.892,92.284,648,1.5026,0.05833,52.287,36.310,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc6397,dao,DAOStarFinder,single-image baseline,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,631,held_out_catalogue_recovery,95.404,55.556,9,1.8380,0.03022,0.201,0.140,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc6397,sep,SEP/SExtractor-style,single-image baseline,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,631,held_out_catalogue_recovery,76.070,66.667,9,2.5046,0.08642,3.249,2.256,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc6397,photutils_psf,Photutils PSFPhotometry,single-image baseline,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,631,held_out_catalogue_recovery,95.404,55.556,9,0.9827,0.04012,7.786,5.407,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc6397,astrocfr_epsf_deblend,AstroCFR ePSF + residual deblend,v45 branch,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,631,held_out_catalogue_recovery,99.049,66.667,9,1.1060,0.03543,19.881,13.806,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
